ID_PER,P5_17_1,P5_17_2,P5_17_3,P5_17_4,P5_16_1,P5_16_3,P5_11_01,P5_26,P5_1,P5_2_1,P5_2_4,P6_1,P6_3,P6_4_1,P6_4_2,P6_13,P6_14_1,P6_14_2,P6_14_3,P6_15,P7_37,P7_38,P7_40_1,P7_40_2,P7_40_3,P7_40_4,P7_40_5,P7_40_6,P7_1,P7_2,P7_9,P7_35,P7_36,P8_9_12,P10_7,P10_5_1,P10_5_2,P10_5_3,P10_5_4,P10_1,P10_3,P10_6,P10_8
0377.5573,1,1,1,1,1,1,0,1,1,1,1,4,2,1,2,2,2,2,2,2,4,4,1,2,2,1,2,2,2,24,1,1,1,2,4,2,2,2,2,1,2,1,2
0411.5990,1,1,1,1,1,1,0,2,1,1,1,1,2,1,1,3,2,2,1,2,4,4,2,2,2,2,2,2,2,12,1,1,1,2,4,1,2,2,2,1,2,1,2
0416.7301,1,2,2,3,1,1,0,3,2,1,1,5,2,1,1,3,1,1,1,2,3,4,1,2,2,2,2,2,1,10,1,1,2,2,4,1,1,1,2,2,1,2,2
0418.1524,1,1,4,4,1,3,0,3,1,1,2,1,2,1,1,3,2,2,1,2,4,4,2,2,2,1,2,2,1,24,1,1,1,1,1,1,1,2,2,2,2,1,1
0431.9297,3,4,2,3,1,1,0,2,1,1,2,3,2,1,1,3,2,2,1,2,3,3,1,1,1,1,2,2,2,17,1,1,2,2,4,1,2,2,2,2,2,2,2
0435.1974,4,4,4,4,1,1,0,3,1,1,2,3,2,1,1,3,1,2,2,2,4,4,1,2,2,2,2,2,1,13,1,1,1,2,4,1,2,2,2,2,2,1,1
0453.4190,4,2,2,2,2,1,0,4,1,1,1,1,2,1,1,3,2,2,1,1,4,3,2,2,2,2,2,2,1,14,1,1,2,1,4,1,2,1,1,1,2,2,1
0456.9377,1,1,1,1,1,1,0,4,1,1,1,12,1,1,2,3,2,2,1,2,4,3,1,2,2,2,2,2,2,24,2,1,2,2,4,1,2,2,2,2,1,2,2
0458.4781,4,3,3,4,2,1,1,2,2,1,1,2,2,1,2,3,2,2,1,2,4,3,2,2,2,1,2,2,1,12,1,1,2,2,4,1,2,2,2,2,1,2,2
0463.5897,3,2,1,4,1,3,0,4,1,1,2,10,2,1,1,3,2,2,1,2,4,4,1,1,2,2,2,2,1,23,1,2,2,3,4,1,1,1,1,2,1,1,2
